<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.AAPL,30,20160127,210000,95.5201000,95.6000000,95.1200000,95.3100000,4839394
US1.AAPL,30,20160127,213000,95.3100000,95.7400000,95.2200000,95.4250000,5724673
US1.AAPL,30,20160127,220000,95.4200000,95.4700000,95.0200000,95.2675000,3818255
US1.AAPL,30,20160127,223000,95.2700000,95.5500000,94.5100000,94.7400000,8338575
US1.AAPL,30,20160127,230000,94.7400000,94.7800000,93.8900000,94.1190000,6406465
US1.AAPL,30,20160127,233000,94.0800000,94.1800000,93.5200000,93.9000000,7087663
US1.AAPL,30,20160128,000000,93.9100000,94.1300000,93.3400000,93.4300000,8070051
US1.AAPL,30,20160128,180000,93.7900000,94.3500000,93.2100000,93.6300000,9241855
US1.AAPL,30,20160128,183000,93.6250000,93.8228000,92.5700000,92.8000000,7184448
US1.AAPL,30,20160128,190000,92.7875000,93.6300000,92.3900000,93.4400000,4802993
US1.AAPL,30,20160128,193000,93.4400000,93.8800000,93.3750000,93.4200000,3120462
US1.AAPL,30,20160128,200000,93.4400000,93.4850000,92.9700000,93.0100000,2718115
US1.AAPL,30,20160128,203000,93.0100000,93.6500000,93.0000000,93.5900000,2600075
US1.AAPL,30,20160128,210000,93.6000000,93.9500000,93.3400000,93.4200000,2785043
US1.AAPL,30,20160128,213000,93.4100000,93.7900000,93.2400000,93.5200000,2228484
US1.AAPL,30,20160128,220000,93.5190000,93.8750000,93.4300000,93.4800000,2024307
US1.AAPL,30,20160128,223000,93.4700000,94.3400000,93.4400000,94.3365000,2604774
US1.AAPL,30,20160128,230000,94.3350000,94.5200000,93.7700000,93.8950000,2897693
US1.AAPL,30,20160128,233000,93.8900000,94.2700000,93.6601000,94.1800000,3331389
US1.AAPL,30,20160129,000000,94.1700000,94.4000000,93.8700000,94.0800000,3825285
US1.AAPL,30,20160129,180000,94.5200000,95.7600000,94.3500000,95.6000000,7635527
US1.AAPL,30,20160129,183000,95.6000000,96.0500000,95.3901000,95.4300000,5118465
US1.AAPL,30,20160129,190000,95.4300000,95.7701000,95.2300000,95.5800000,3670752
US1.AAPL,30,20160129,193000,95.5850000,95.8200000,95.3750000,95.5400000,2623604
US1.AAPL,30,20160129,200000,95.5400000,95.7600000,95.4200000,95.7400000,3239391
US1.AAPL,30,20160129,203000,95.7500000,96.3500000,95.5605000,96.2400000,4559788
US1.AAPL,30,20160129,210000,96.2399000,96.2900000,95.8200000,96.1920000,2900784
US1.AAPL,30,20160129,213000,96.1900000,96.4900000,96.0300000,96.3570000,2663676
US1.AAPL,30,20160129,220000,96.3600000,96.7624000,96.3400000,96.7199000,2956005
US1.AAPL,30,20160129,223000,96.7189000,96.8600000,96.4800000,96.8550000,2377672
US1.AAPL,30,20160129,230000,96.8600000,96.9100000,96.4700000,96.6450000,2745813
US1.AAPL,30,20160129,233000,96.6500000,96.9100000,96.5650000,96.9000000,2684797
US1.AAPL,30,20160130,000000,96.9100000,97.2200000,96.6900000,97.1400000,8000983
US1.AAPL,30,20160201,180000,96.4700000,96.5500000,95.8600000,96.0600000,5397080
US1.AAPL,30,20160201,183000,96.0500000,96.2400000,95.4000000,95.5500000,3905679
US1.AAPL,30,20160201,190000,95.5510000,96.4400000,95.4800000,96.3850000,2998334
US1.AAPL,30,20160201,193000,96.3800000,96.4650000,95.9900000,96.1150000,2633649
US1.AAPL,30,20160201,200000,96.1200000,96.6700000,96.0900000,96.4100000,2822841
US1.AAPL,30,20160201,203000,96.4300000,96.5050000,96.1000000,96.1310000,1631344
US1.AAPL,30,20160201,210000,96.1400000,96.2350000,95.8250000,95.9200000,1886170
US1.AAPL,30,20160201,213000,95.9300000,96.2500000,95.7500000,96.2150000,1953550
US1.AAPL,30,20160201,220000,96.2200000,96.2400000,96.0000000,96.2141000,1806670
US1.AAPL,30,20160201,223000,96.2141000,96.4111000,96.0630000,96.3900000,1925836
US1.AAPL,30,20160201,230000,96.3908000,96.5300000,96.2500000,96.4700000,1845730
US1.AAPL,30,20160201,233000,96.4600000,96.7100000,96.2500000,96.5900000,2630761
US1.AAPL,30,20160202,000000,96.5900000,96.6800000,96.3600000,96.3800000,3208143
US1.AAPL,30,20160202,180000,95.4200000,96.0400000,95.0500000,95.2900000,4594720
US1.AAPL,30,20160202,183000,95.2901000,95.6500000,95.0400000,95.4700000,2853464
US1.AAPL,30,20160202,190000,95.4700000,95.7000000,95.2600000,95.4500000,1965865
US1.AAPL,30,20160202,193000,95.4600000,95.8900000,95.3050000,95.6600000,2283690
US1.AAPL,30,20160202,200000,95.6500000,95.8859000,95.3250000,95.3300000,1851690
US1.AAPL,30,20160202,203000,95.3384000,95.4900000,95.1500000,95.2600000,1705064
US1.AAPL,30,20160202,210000,95.2700000,95.4300000,95.1200000,95.3150000,1756569
US1.AAPL,30,20160202,213000,95.3100000,95.4000000,95.1300000,95.2990000,1442292
US1.AAPL,30,20160202,220000,95.2900000,95.2999000,94.9100000,94.9300000,2082097
US1.AAPL,30,20160202,223000,94.9315000,95.0890000,94.5800000,94.6200000,2200081
US1.AAPL,30,20160202,230000,94.6200000,94.8400000,94.2800000,94.3000000,2263625
US1.AAPL,30,20160202,233000,94.2960000,94.7600000,94.2800000,94.5965000,2284435
US1.AAPL,30,20160203,000000,94.5900000,94.9100000,94.3600000,94.4800000,4082880
US1.AAPL,30,20160203,180000,95.0000000,95.6400000,94.8600000,95.1700000,3959776
US1.AAPL,30,20160203,183000,95.1700000,95.1900000,94.2500000,94.2600000,3652024
US1.AAPL,30,20160203,190000,94.2500000,94.6500000,94.0800000,94.5050000,3817780
US1.AAPL,30,20160203,193000,94.5100000,94.9000000,94.1900000,94.5600000,2982391
US1.AAPL,30,20160203,200000,94.5700000,95.1700000,94.3600000,94.7000000,2456069
US1.AAPL,30,20160203,203000,94.7100000,94.9100000,94.4000000,94.6399000,1707162
US1.AAPL,30,20160203,210000,94.6300000,94.8100000,94.3000000,94.7750000,1552112
US1.AAPL,30,20160203,213000,94.7700000,95.0000000,94.5300000,94.7800000,1431579
US1.AAPL,30,20160203,220000,94.7865000,94.7900000,94.4100000,94.4400000,1457071
US1.AAPL,30,20160203,223000,94.4350000,96.0200000,94.4350000,95.8300000,2987266
US1.AAPL,30,20160203,230000,95.8300000,96.5500000,95.6800000,96.5200000,4064807
US1.AAPL,30,20160203,233000,96.5216000,96.8400000,96.2600000,96.2600000,4543337
US1.AAPL,30,20160204,000000,96.2700000,96.5800000,96.0600000,96.3400000,4451295
US1.AAPL,30,20160204,180000,95.8600000,96.3700000,95.1900000,95.8900000,4073448
US1.AAPL,30,20160204,183000,95.8700000,97.3300000,95.4300000,97.0500000,4499551
US1.AAPL,30,20160204,190000,97.0550000,97.3250000,96.8100000,97.1400000,3076397
US1.AAPL,30,20160204,193000,97.1300000,97.1700000,96.0500000,96.0500000,2982927
US1.AAPL,30,20160204,200000,96.0500000,96.3000000,95.4600000,95.6400000,2604966
US1.AAPL,30,20160204,203000,95.6310000,96.4900000,95.5500000,96.0800000,2177388
US1.AAPL,30,20160204,210000,96.0800000,96.7100000,95.8800000,96.3600000,1706287
US1.AAPL,30,20160204,213000,96.3700000,96.6112000,96.2299000,96.2750000,1750920
US1.AAPL,30,20160204,220000,96.2800000,96.5200000,95.8700000,96.1270000,1650550
US1.AAPL,30,20160204,223000,96.1400000,96.1800000,95.8000000,95.9090000,1569190
US1.AAPL,30,20160204,230000,95.9000000,96.3900000,95.7400000,96.3600000,1863101
US1.AAPL,30,20160204,233000,96.3500000,96.4600000,95.8700000,96.1642000,2607017
US1.AAPL,30,20160205,000000,96.1700000,96.7000000,96.0000000,96.6000000,3892437
US1.AAPL,30,20160205,180000,96.5200000,96.9200000,95.7500000,96.0700000,4446072
US1.AAPL,30,20160205,183000,96.0650000,96.2700000,95.0500000,95.1900000,4183361
US1.AAPL,30,20160205,190000,95.1900000,95.7400000,94.9800000,95.0900000,3006375
US1.AAPL,30,20160205,193000,95.1000000,95.4100000,94.9400000,95.2050000,2839692
US1.AAPL,30,20160205,200000,95.2110000,95.4300000,94.8835000,95.2100000,2424371
US1.AAPL,30,20160205,203000,95.2000000,95.4300000,95.0100000,95.3500000,1992142
US1.AAPL,30,20160205,210000,95.3500000,95.5800000,94.9000000,95.1300000,1766854
US1.AAPL,30,20160205,213000,95.1248000,95.2900000,95.0000000,95.1950000,1337198
US1.AAPL,30,20160205,220000,95.1800000,95.2200000,94.6189000,94.7300000,2266320
